# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.03 10.000 0.7007576227 2.3782866001    0.701 -0.868  3.6259  4.607    1  0.000  0.544     0.00     0.00 -1 -1.01e-14      0.00 6.996e-01 2.730e-01 4.914e-03 1.327e-03 1.204e-02 -1.000 2.737e-02 6.939 10.587 9.095 7.823 6.970 6.230 5.361 4.676 4.552
0.03 10.000 0.7265022993 2.3900005817    0.727 -0.776  3.6443  4.605    1  0.000  0.540     0.00     0.00 -1 -1.23e-14      0.00 7.008e-01 2.720e-01 4.863e-03 1.322e-03 1.200e-02 -1.000 2.727e-02 6.711 10.065 8.631 7.416 6.610 5.987 5.185 4.530 4.427
0.03 10.000 0.7500000000 2.3998889923    0.750 -0.695  3.6605  4.602    1  0.000  0.537     0.00     0.00 -1 -1.46e-14      0.00 7.019e-01 2.709e-01 4.817e-03 1.317e-03 1.197e-02 -1.000 2.721e-02 6.507 9.518 8.214 7.067 6.312 5.771 5.029 4.422 4.330
0.03 10.000 0.7509176731 2.4002606869    0.751 -0.692  3.6609  4.601    1  0.000  0.537     0.00     0.00 -1 -1.47e-14      0.00 7.019e-01 2.709e-01 4.816e-03 1.316e-03 1.196e-02 -1.000 2.720e-02 6.500 9.502 8.202 7.057 6.304 5.763 5.023 4.417 4.326
0.03 10.000 0.7790149450 2.4111576080    0.779 -0.606  3.6728  4.579    1  0.000  0.537     0.00     0.00 -1 -1.81e-14      0.00 7.043e-01 2.687e-01 4.782e-03 1.307e-03 1.188e-02 -1.000 2.702e-02 6.285 9.014 7.834 6.747 6.040 5.541 4.844 4.278 4.193
0.03 10.000 0.8000000119 2.4187245369    0.800 -0.542  3.6817  4.562    1  0.000  0.537     0.00     0.00 -1 -2.11e-14      0.00 7.061e-01 2.671e-01 4.757e-03 1.300e-03 1.182e-02 -1.000 2.682e-02 6.125 8.655 7.567 6.523 5.851 5.377 4.712 4.175 4.093
0.03 10.000 0.8094674945 2.4219911098    0.809 -0.513  3.6857  4.554    1  0.000  0.537     0.00     0.00 -1 -2.26e-14      0.00 7.069e-01 2.663e-01 4.745e-03 1.297e-03 1.179e-02 -1.000 2.675e-02 6.052 8.496 7.448 6.423 5.766 5.302 4.651 4.126 4.047
0.03 10.000 0.8303602934 2.4288973808    0.830 -0.448  3.6945  4.535    1  0.000  0.536     0.00     0.00 -1 -2.65e-14      0.00 7.088e-01 2.646e-01 4.718e-03 1.290e-03 1.173e-02 -1.000 2.666e-02 5.889 8.148 7.191 6.206 5.583 5.138 4.517 4.019 3.944
0.03 10.000 0.8489911556 2.4347274303    0.849 -0.390  3.7021  4.517    1  0.000  0.536     0.00     0.00 -1 -3.06e-14      0.00 7.104e-01 2.631e-01 4.694e-03 1.284e-03 1.167e-02 -1.000 2.651e-02 5.744 7.846 6.968 6.017 5.422 4.994 4.398 3.922 3.851
0.03 10.000 0.8500000238 2.4350347519    0.850 -0.387  3.7025  4.516    1  0.000  0.536     0.00     0.00 -1 -3.08e-14      0.00 7.105e-01 2.630e-01 4.693e-03 1.283e-03 1.167e-02 -1.000 2.650e-02 5.736 7.830 6.956 6.007 5.413 4.986 4.392 3.917 3.846
0.03 10.000 0.8666538596 2.4399893284    0.866 -0.334  3.7090  4.497    1  0.000  0.536     0.00     0.00 -1 -3.52e-14      0.00 7.123e-01 2.614e-01 4.668e-03 1.276e-03 1.161e-02 -1.000 2.633e-02 5.605 7.570 6.763 5.841 5.270 4.856 4.283 3.827 3.759
0.03 10.000 0.8852385879 2.4452657700    0.885 -0.275  3.7159  4.475    1  0.000  0.536     0.00     0.00 -1 -4.09e-14      0.00 7.142e-01 2.597e-01 4.641e-03 1.269e-03 1.154e-02 -1.000 2.617e-02 5.458 7.293 6.555 5.661 5.113 4.711 4.161 3.724 3.658
0.03 10.000 0.8999999762 2.4492788315    0.899 -0.228  3.7212  4.457    1  0.000  0.536     0.00     0.00 -1 -4.61e-14      0.00 7.156e-01 2.583e-01 4.621e-03 1.264e-03 1.149e-02 -1.000 2.605e-02 5.340 7.079 6.393 5.520 4.988 4.595 4.062 3.640 3.577
0.03 10.000 0.9103641510 2.4520070553    0.910 -0.195  3.7246  4.442    1  0.000  0.536     0.00     0.00 -1 -5.04e-14      0.00 7.169e-01 2.571e-01 4.603e-03 1.259e-03 1.145e-02 -1.000 2.600e-02 5.256 6.934 6.282 5.422 4.901 4.514 3.992 3.578 3.516
0.03 10.000 0.9215605259 2.4548752308    0.921 -0.158  3.7282  4.425    1  0.000  0.536     0.00     0.00 -1 -5.56e-14      0.00 7.182e-01 2.559e-01 4.584e-03 1.254e-03 1.140e-02 -1.000 2.592e-02 5.165 6.780 6.162 5.317 4.806 4.425 3.914 3.510 3.450
0.03 10.000 0.9321982265 2.4575269222    0.931 -0.124  3.7314  4.408    1  0.000  0.536     0.00     0.00 -1  -6.1e-14      0.00 7.194e-01 2.548e-01 4.566e-03 1.249e-03 1.136e-02 -1.000 2.586e-02 5.079 6.637 6.050 5.217 4.716 4.341 3.840 3.444 3.385
0.03 10.000 0.9424473047 2.4600169659    0.942 -0.090  3.7343  4.391    1  0.000  0.536     0.00     0.00 -1 -6.69e-14      0.00 7.205e-01 2.538e-01 4.550e-03 1.245e-03 1.132e-02 -1.000 2.574e-02 4.995 6.504 5.943 5.123 4.630 4.260 3.768 3.378 3.321
