# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.03 10.000 0.1000000015 1.1711064577    0.100 -3.279  3.3685  5.143    1  0.000  0.545     0.00     0.00 -1 -7.21e-18      0.00 6.665e-01 3.035e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.967 21.603 19.413 17.696 15.689 13.504 10.882 10.292 9.958
0.03 10.000 0.1053785756 1.2145267725    0.105 -3.214  3.3760  5.130    1  0.000  0.545     0.00     0.00 -1 -1.26e-17      0.00 6.664e-01 3.036e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.806 21.419 19.242 17.530 15.527 13.344 10.721 10.132 9.797
0.03 10.000 0.1098484844 1.2484755516    0.109 -3.163  3.3820  5.120    1  0.000  0.545     0.00     0.00 -1 -2.13e-17      0.00 6.662e-01 3.038e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.679 21.273 19.107 17.398 15.398 13.216 10.594 10.006 9.670
0.03 10.000 0.1295454502 1.3791590929    0.129 -2.962  3.4048  5.082    1  0.000  0.545     0.00     0.00 -1 -5.61e-17      0.00 6.656e-01 3.044e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 12.174 20.694 18.571 16.876 14.887 12.711 10.090 9.504 9.165
0.03 10.000 0.1492424309 1.4862678051    0.149 -2.805  3.4210  5.052    1  0.000  0.545     0.00     0.00 -1 -5.38e-17      0.00 6.651e-01 3.049e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 11.783 20.055 18.020 16.350 14.410 12.266 9.707 9.123 8.783
0.03 10.000 0.1689393967 1.5764148235    0.168 -2.678  3.4336  5.028    1  0.000  0.545     0.00     0.00 -1 -4.31e-17      0.00 6.646e-01 3.054e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 11.465 19.047 17.217 15.604 13.807 11.765 9.416 8.833 8.500
0.03 10.000 0.2083333284 1.7214080095    0.208 -2.465  3.4537  4.987    1  0.000  0.545     0.00     0.00 -1 -5.24e-17      0.00 6.636e-01 3.064e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 10.933 17.595 16.013 14.483 12.874 10.983 8.925 8.342 8.024
0.03 10.000 0.2575757504 1.8591849804    0.257 -2.264  3.4690  4.940    1  0.000  0.545     0.00     0.00 -1 -3.02e-16      0.00 6.629e-01 3.071e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 10.430 16.501 15.067 13.584 12.098 10.325 8.455 7.868 7.564
0.03 10.000 0.3119263351 1.9761991501    0.311 -2.082  3.4820  4.894    1  0.000  0.545     0.00     0.00 -1 -6.43e-16      0.00 6.639e-01 3.061e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.976 15.612 14.276 12.829 11.436 9.761 8.029 7.437 7.147
0.03 10.000 0.3420357704 2.0301678181    0.342 -1.992  3.4884  4.869    1  0.000  0.545     0.00     0.00 -1 -6.69e-16      0.00 6.666e-01 3.034e-01 5.394e-03 1.455e-03 1.320e-02 -1.000 3.000e-02 9.751 15.200 13.901 12.463 11.109 9.488 7.820 7.224 6.940
