IRL001 	2181 	-0.50 	0.20
IRL002 	3216 	-0.50 	-0.12
IRL003 	2889 	-0.50 	0.00
IRL004 	3039 	-0.50 	-0.10
IRL005 	2782 	-0.50 	-0.37
IRL006 	3248 	-0.50 	-0.17
IRL007 	2710 	-0.50 	-0.62
IRL008 	5582 	2.09 	-0.15
IRL009 	7425 	0.70 	0.00
IRL010 	7425 	0.70 	0.00
IRL011 	7037 	2.03 	-0.06
IRL012 	7073 	2.07 	-0.06
IRL013 	7008 	2.09 	-0.57
IRL014 	7031 	2.15 	-0.55
IRL015 	7083 	3.20 	-0.03
IRL016 	7000 	3.25 	-1.90
IRL017 	6799 	4.10 	-0.90
IRL019 	7005 	2.10 	-0.68
IRL020 	7146 	2.20 	-0.56
IRL021 	6404 	4.30 	-0.54
IRL023 	7350 	2.15 	0.09
IRL024 	7350 	2.15 	0.09
IRL025 	6791 	3.81 	-0.24
IRL026 	6810 	3.87 	0.22
IRL027 	7090 	4.29 	0.04
IRL028 	6204 	3.75 	-0.04
IRL029 	6097 	4.08 	-0.02
IRL030 	6377 	3.75 	-0.08
IRL031 	6745 	3.19 	-0.22
IRL032 	6052 	2.27 	-0.14
IRL033 	6052 	2.29 	-0.16
IRL034 	6695 	3.25 	-0.71
IRL035 	6590 	3.34 	0.31
IRL036 	6261 	4.05 	-0.23
IRL037 	6576 	4.25 	0.13
IRL038 	6070 	3.00 	-0.26
IRL039 	6288 	3.91 	0.00
IRL040 	6167 	4.04 	-0.32
IRL041 	6157 	1.65 	0.13
IRL042 	6116 	3.83 	-0.11
IRL043 	6202 	3.84 	-0.27
IRL044 	6109 	4.20 	0.17
IRL045 	6906 	0.81 	0.09
#IRL046 	5740 	0.81 	0.07
IRL047 	6268 	1.70 	-0.10
IRL048 	6130 	1.70 	-0.17
IRL049 	6380 	2.96 	-0.66
IRL050 	6524 	3.92 	-0.74
IRL051 	6155 	4.17 	-0.04
IRL052 	6127 	4.02 	-0.05
IRL053 	5975 	4.40 	0.09
IRL054 	5570 	2.90 	-0.35
IRL055 	5570 	2.90 	-0.35
IRL056 	5895 	3.91 	-0.21
IRL057 	5928 	4.24 	-0.53
IRL058 	5550 	1.30 	-0.24
IRL059 	5550 	1.30 	-0.24
IRL060 	5986 	4.11 	-0.13
IRL061 	6094 	4.04 	-0.18
IRL062 	5250 	1.30 	-0.05
IRL063 	5924 	3.48 	-0.04
IRL064 	5920 	3.58 	-0.04
IRL065 	5727 	3.36 	-0.39
IRL066 	5834 	4.34 	0.04
IRL067 	5847 	4.28 	0.02
IRL068 	5671 	1.55 	-0.07
IRL069 	5726 	1.55 	-0.25
IRL070 	5772 	1.55 	-0.01
IRL071 	5751 	1.55 	0.02
IRL072 	5663 	1.94 	-0.33
IRL073 	5989 	2.87 	-0.23
IRL074 	5731 	3.35 	-0.15
IRL075 	5940 	4.23 	0.01
IRL076 	4864 	0.10 	-0.43
IRL077 	4864 	0.10 	-0.43
IRL078 	5449 	2.80 	-0.23
IRL079 	5302 	2.61 	-0.30
IRL080 	5431 	2.85 	-0.41
IRL081 	5688 	3.82 	-0.09
IRL082 	6241 	1.55 	0.25
IRL083 	6241 	1.55 	0.25
